Site_ID,site_name,VI,variable,duration,intensity,ancient_group,family,genus,species,Lon,Lat,Elevation,Continent,Country,type,yr_strat,yr_end,yr_len,SOS_Month,EOS_Month,GS_Months,Num_GS_Months,lab,TMP_sd_gs_mean,PRE_sd_gs_mean,SR_sd_gs_mean,CO2_sd_gs_mean,VPD_sd_gs_mean,TRW_mean,TMP_mean,PRE_mean,SR_mean,CO2_mean,VPD_mean,TRW_cv,TMP_cv,PRE_cv,SR_cv,CO2_cv,VPD_cv,species_for_matching,phylo_depth,branch_length,sister_distance,phylo_match_type
22,africa_mar040,TRW,TRW,4,0.22111,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,-5.33,33.19,1813,africa,Morocco,Warm Humid,1940,2011,72,2,7,"2,3,4,5,6,7",6,81710,6.398505698,54.11890919,57.45952131,1.318538583,0.500903275,1.071331918,12.85717614,353.5236173,1266.282805,335.5352352,0.686185236,0.230291648,0.048836348,0.365449263,0.028491703,0.067996736,0.034959316,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
23,africa_mar041,TRW,TRW,4,0.24976,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,-5.24,33,2060,africa,Morocco,Warm Humid,1940,2011,72,2,6,"2,3,4,5,6",5,82430,5.131867247,44.77157487,57.2098746,0.612403652,0.290253823,1.077067845,11.67277799,291.0791714,1018.736798,336.009,0.620218459,0.273700413,0.060974265,0.356217099,0.035467574,0.068161425,0.039088202,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
24,africa_mar042,TRW,TRW,4,0.26682,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,-5.23,32.8,1824,africa,Morocco,Arid,1940,2011,72,2,6,"2,3,4,5,6",5,82430,5.131867247,44.77157487,57.2098746,0.612403652,0.290253823,1.007888993,11.67277799,291.0791714,1018.736798,336.009,0.620218459,0.309729253,0.060974265,0.356217099,0.035467574,0.068161425,0.039088202,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
25,africa_mar045,TRW,TRW,3,0.1571,AncientGroup_E_5,Pinaceae,Abies,Abies magnifica A. Murray,-5.11,35.27,1636,africa,Morocco,Warm Dry,1940,2012,73,2,7,"2,3,4,5,6,7",6,78830,4.920862276,52.35469302,60.4931228,2.135621882,0.302189546,0.943083124,15.11598203,325.7506903,1209.047832,335.1920048,0.568424345,0.195929717,0.038756599,0.340181106,0.027072795,0.069557508,0.055819664,Abies magnifica,320.501454,4.548573,9.097146,species_level
26,africa_mar046,TRW,TRW,2,0.13149,AncientGroup_E_5,Pinaceae,Abies,Abies magnifica A. Murray,-5.2,35.18,1775,africa,Morocco,Warm Dry,1940,2004,65,2,7,"2,3,4,5,6,7",6,78830,4.8705061,52.49153295,60.45880654,2.071751907,0.297775765,0.983361961,15.03410286,328.2507744,1206.136841,329.8833354,0.563160727,0.140666838,0.037451066,0.336565092,0.027206788,0.056555622,0.050395214,Abies magnifica,320.501454,4.548573,9.097146,species_level
27,africa_mar049,TRW,TRW,3,0.31906,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,-5.07,32.98,2203,africa,Morocco,Arid,1940,2011,72,2,6,"2,3,4,5,6",5,82430,5.131867247,44.77157487,57.2098746,0.612403652,0.290253823,0.976958013,11.67277799,291.0791714,1018.736798,336.009,0.620218459,0.35567987,0.060974265,0.356217099,0.035467574,0.068161425,0.039088202,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
28,africa_morc015,TRW,TRW,3,0.13093,AncientGroup_E_5,Pinaceae,Pinus,Pinus pinaster Aiton,-5.47,35.08,900,africa,Morocco,Warm Dry,1940,2004,65,2,7,"2,3,4,5,6,7",6,78830,4.8705061,52.49153295,60.45880654,2.071751907,0.297775765,0.984607392,15.03410286,328.2507744,1206.136841,329.8833354,0.563160727,0.167090799,0.037451066,0.336565092,0.027206788,0.056555622,0.050395214,Pinus pinaster,304.191162,20.858865,41.71773,species_level
29,africa_morc017,TRW,TRW,3,0.30103,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carriere,-5.6,32.38,2200,africa,Morocco,Arid,1940,2004,65,1,12,"1,2,3,4,5,6,7,8,9,10,11,12",12,83149,7.200825112,48.40157429,66.66418691,1.462036552,0.576250471,0.86623071,12.08833353,668.7892419,2180.086895,330.1326358,0.823220575,0.463803258,0.039537632,0.22356734,0.023335867,0.057076311,0.020395982,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
30,africa_morc018,TRW,TRW,3,0.3079,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carriere,-5.07,32.97,2200,africa,Morocco,Arid,1940,2001,62,2,6,"2,3,4,5,6",5,82430,5.089535083,44.73608318,56.85641218,0.592196685,0.285745002,0.989212241,11.55741956,291.6871019,1017.593384,329.4932949,0.617430581,0.332069978,0.059897177,0.369959148,0.035537481,0.05211872,0.03802974,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
31,africa_morc019,TRW,TRW,3,0.29484,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carriere,-5.07,32.97,2200,africa,Morocco,Arid,1940,2001,62,2,6,"2,3,4,5,6",5,82430,5.089535083,44.73608318,56.85641218,0.592196685,0.285745002,1.001198928,11.55741956,291.6871019,1017.593384,329.4932949,0.617430581,0.318875085,0.059897177,0.369959148,0.035537481,0.05211872,0.03802974,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
32,africa_morc020,TRW,TRW,3,0.19768,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carriere,-5.17,33.4,1830,africa,Morocco,Warm Humid,1940,2001,62,2,7,"2,3,4,5,6,7",6,81710,6.362099394,54.96489536,57.30438621,1.245426013,0.495796376,0.976212986,12.74193569,356.6838772,1265.720022,329.056647,0.682189233,0.241823771,0.04649805,0.378041184,0.028326967,0.052094618,0.033037192,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
33,africa_morc023,TRW,TRW,4,0.26681,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carriere,-4.9,33.1,2180,africa,Morocco,Arid,1940,2001,62,3,6,"3,4,5,6",4,81711,4.590015545,35.83588792,40.98240276,0.571610158,0.248502277,0.97782261,11.64112926,209.9790353,886.440788,329.5380052,0.559196549,0.345145678,0.064527697,0.418066371,0.035356086,0.052211583,0.042634863,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
34,africa_morc024,TRW,TRW,3,0.13666,AncientGroup_E_5,Pinaceae,Pinus,Pinus nigra J.F. Arnold,-5.21,35.17,1850,africa,Morocco,Warm Dry,1940,2011,72,2,7,"2,3,4,5,6,7",6,78830,4.903646316,52.56228313,60.54663472,2.133573645,0.301168229,1.001874642,15.11157437,328.1763942,1208.806568,334.5045513,0.567535698,0.153300986,0.038959219,0.334036289,0.027214096,0.067925793,0.054663751,Pinus nigra,304.191162,20.858865,41.71773,species_level
35,africa_morc025,TRW,TRW,4,0.29414,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carriere,-5.07,32.97,2200,africa,Morocco,Arid,1940,2000,61,2,6,"2,3,4,5,6",5,82430,5.089239859,45.22413329,56.78864287,0.5862964,0.28484538,1.115892869,11.53409857,294.8032838,1017.659004,328.884308,0.616862131,0.340876834,0.058348447,0.35941874,0.035826435,0.050554406,0.0376769,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
36,africa_tun005,TRW,TRW,3,0.51918,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,9.35,35.84,947,africa,Tunisia,Arid,1940,2011,72,12,6,"12,1,2,3,4,5,6",7,78139,5.942721183,43.16385737,76.53827022,1.117447412,0.359810673,0.965435986,12.71772512,456.6722308,1139.68721,335.7487068,0.573254556,0.553781363,0.050860872,0.24000159,0.025296773,0.068145404,0.077225651,Pinus halepensis,304.191162,20.858865,41.71773,species_level
37,africa_tun007,TRW,TRW,4,0.26901,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,9.92,37.25,32,africa,Tunisia,Warm Dry,1940,2012,73,11,5,"11,12,1,2,3,4,5",7,75980,3.006820077,42.59410397,66.19494979,0.957526276,0.143213874,0.993163472,13.76767149,499.9137073,916.0036328,336.1843764,0.427774332,0.346383614,0.042737432,0.214518081,0.028660766,0.069658442,0.093600571,Pinus halepensis,304.191162,20.858865,41.71773,species_level
38,africa_tun008,TRW,TRW,4,0.60821,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,8.5,36.11,376,africa,Tunisia,Warm Dry,1940,2011,72,12,7,"12,1,2,3,4,5,6,7",8,77418,6.852694651,56.60664592,80.56138996,2.287697452,0.523763791,1.000155,15.20659747,557.2319543,1386.826859,335.027461,0.688019685,0.651880941,0.042498982,0.217627916,0.020959674,0.06818234,0.078258775,Pinus halepensis,304.191162,20.858865,41.71773,species_level
39,africa_tun010,TRW,TRW,3,0.43881,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,8.94,35.64,1024,africa,Tunisia,Arid,1940,2011,72,12,6,"12,1,2,3,4,5,6",7,78138,5.995372653,42.54072706,76.43960472,1.058162815,0.362648785,0.977728561,12.31593937,463.6930634,1138.629268,335.7664447,0.549153802,0.470187079,0.052657086,0.229475357,0.025420313,0.068158372,0.080147654,Pinus halepensis,304.191162,20.858865,41.71773,species_level
40,africa_tun011,TRW,TRW,3,0.31712,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,8.96,35.63,1105,africa,Tunisia,Arid,1940,2012,73,12,6,"12,1,2,3,4,5,6",7,78138,6.012165702,42.42884023,76.37295108,1.058902229,0.363835155,0.974649902,12.32394021,463.3849393,1138.300401,336.4586169,0.550494071,0.319551726,0.052549753,0.228098493,0.025370828,0.069793715,0.082075192,Pinus halepensis,304.191162,20.858865,41.71773,species_level
41,africa_tun012,TRW,TRW,4,0.39835,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,8.93,35.58,1050,africa,Tunisia,Arid,1940,2004,65,12,6,"12,1,2,3,4,5,6",7,78138,5.962174743,41.90602208,76.64942586,1.021507535,0.359836018,0.958548886,12.2409526,460.8615463,1138.739125,331.1123156,0.544711246,0.527319653,0.051093942,0.232395717,0.02595515,0.056754412,0.079661095,Pinus halepensis,304.191162,20.858865,41.71773,species_level
42,africa_tuni003,TRW,TRW,3,0.2903,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,9.3,35.85,800,africa,Tunisia,Arid,1940,2003,64,12,6,"12,1,2,3,4,5,6",7,78139,5.919618402,42.14551001,76.75616251,1.074970128,0.357504372,0.967576371,12.63824429,452.2796959,1140.024747,330.4733866,0.568441157,0.323295421,0.049561735,0.244317851,0.025847815,0.055221399,0.077314001,Pinus halepensis,304.191162,20.858865,41.71773,species_level
43,africa_tza001,TRW,TRW,3,0.23856,AncientGroup_B_2,Fabaceae,Brachystegia,Brachystegia spiciformis Benth.,32.83,-5.08,1256,africa,Tanzania,Warm Humid,1940,2012,73,10,7,"10,11,12,1,2,3,4,5,6,7",10,137226,1.222968101,86.83922668,18.1083689,3.247843292,0.277648196,0.958428582,22.95262269,957.2356335,1608.198196,339.9588077,0.988423897,0.263383325,0.01673945,0.19898328,0.051752781,0.068926739,0.038240284,Brachystegia spiciformis,284.84832,40.201707,80.403414,species_level
44,asia_aze001,TRW,TRW,3,0.23564,AncientGroup_D_4,Taxaceae,Taxus,Taxus baccata L.,48.53,38.71,1500,asia,Azerbaijan,Warm Dry,1940,2016,77,3,12,"3,4,5,6,7,8,9,10,11,12",10,73898,7.190396307,61.74546601,63.92282326,3.72658003,0.383978266,0.975672821,15.97571453,735.1558569,1674.132827,337.3682931,0.593172529,0.259158545,0.043261217,0.222533253,0.030357392,0.077270628,0.084423233,Taxus baccata,257.229332,67.820695,135.64139,species_level
45,asia_bgd001,TRW,TRW,3,0.29391,AncientGroup_A_1,Meliaceae,Chukrasia,Chukrasia tabularis A.Juss.,91.8,24.34,100,asia,Bangladesh,Warm Humid,1940,2012,73,4,12,"4,5,6,7,8,9,10,11,12",9,94864,3.268773399,195.4063237,33.63838507,2.786091583,0.170843374,0.900062131,26.27777813,2454.191821,1459.179556,337.3524901,0.643245904,0.345273544,0.012381862,0.167237731,0.012415959,0.07115347,0.071150484,Chukrasia tabularis,292.433164,32.616864,65.233727,species_level
46,asia_bgd002,TRW,TRW,3,0.25033,AncientGroup_A_1,Lythraceae,Lagerstroemia,Lagerstroemia speciosa (L.) Pers.,91.37,24.1,70,asia,Bangladesh,Warm Humid,1940,2016,77,1,5,"1,2,3,4,5",5,94863,4.294570173,149.3323267,36.65779877,1.256111467,0.256944417,0.925284966,23.91792244,657.3324791,912.2281855,343.29285,0.887779773,0.276045894,0.019369524,0.333099519,0.01245732,0.076620311,0.072614197,Lagerstroemia speciosa,208.056832,116.993195,233.98639,species_level
47,asia_bgd003,TRW,TRW,2,0.39665,AncientGroup_A_1,Meliaceae,Toona,Toona ciliata,91.37,24.1,70,asia,Bangladesh,Warm Humid,1940,2016,77,1,5,"1,2,3,4,5",5,94863,4.294570173,149.3323267,36.65779877,1.256111467,0.256944417,0.896656737,23.91792244,657.3324791,912.2281855,343.29285,0.887779773,0.499842955,0.019369524,0.333099519,0.01245732,0.076620311,0.072614197,Toona ciliata,313.316693,11.733335,23.466669,species_level
